trade_time,price,price_change,volume,成交金额,trade_type,trade_date,stock_code
09:25:00,39.0,0.62,13773,53714700,买盘,2005-03-03,sh603200
09:30:00,39.15,0.15,589,2300149,买盘,2005-03-03,sh603200
09:30:04,38.95,-0.2,1669,6521481,卖盘,2005-03-03,sh603200
09:30:06,38.95,0.0,2730,10646894,卖盘,2005-03-03,sh603200
09:30:10,38.91,-0.04,1664,6463737,买盘,2005-03-03,sh603200
09:30:12,38.95,0.04,1381,5366852,买盘,2005-03-03,sh603200
09:30:16,38.92,-0.03,1142,4431726,买盘,2005-03-03,sh603200
09:30:19,38.8,-0.12,1328,5154725,卖盘,2005-03-03,sh603200
09:30:22,38.95,0.15,1636,6344744,买盘,2005-03-03,sh603200
09:30:24,38.5,-0.45,1775,6864445,卖盘,2005-03-03,sh603200
09:30:28,38.66,0.16,767,2953105,买盘,2005-03-03,sh603200
09:30:31,38.31,-0.35,1057,4059031,卖盘,2005-03-03,sh603200
09:30:34,38.17,-0.14,986,3777350,卖盘,2005-03-03,sh603200
09:30:36,38.03,-0.14,1114,4246336,卖盘,2005-03-03,sh603200
09:30:39,38.0,-0.03,1339,5091602,卖盘,2005-03-03,sh603200
09:30:43,38.17,0.17,2111,8047295,买盘,2005-03-03,sh603200
09:30:46,38.5,0.33,2511,9605800,买盘,2005-03-03,sh603200
09:30:48,38.32,-0.18,1219,4691390,卖盘,2005-03-03,sh603200
09:30:51,38.7,0.38,480,1857510,中性盘,2005-03-03,sh603200
09:30:54,38.99,0.29,510,1985350,买盘,2005-03-03,sh603200
09:30:58,39.1,0.11,1441,5619266,买盘,2005-03-03,sh603200
09:31:00,39.1,0.0,684,2681050,买盘,2005-03-03,sh603200
09:31:03,39.44,0.34,288,1130874,买盘,2005-03-03,sh603200
09:31:07,39.5,0.06,238,939871,买盘,2005-03-03,sh603200
09:31:09,39.63,0.13,245,970453,买盘,2005-03-03,sh603200
09:31:12,39.73,0.1,844,3353529,买盘,2005-03-03,sh603200
09:31:16,39.93,0.2,422,1680850,买盘,2005-03-03,sh603200
09:31:18,39.97,0.04,615,2456063,买盘,2005-03-03,sh603200
09:31:21,40.19,0.22,1277,5109699,买盘,2005-03-03,sh603200
09:31:24,40.19,0.0,810,3256342,买盘,2005-03-03,sh603200
